Date,Portfolio Value
2023-11-13,7350.4315312185445
2023-11-14,7466.541232442081
2023-11-15,7446.343044673298
2023-11-16,7478.57368266941
2023-11-17,7516.902076068131
2023-11-20,7587.465523586243
2023-11-21,7544.720794730857
2023-11-22,7530.824832423819
2023-11-24,7529.15647676431
2023-11-27,7524.356312658556
2023-11-28,7559.922606246989
2023-11-29,7558.9248698855035
2023-11-30,7567.18943976196
2023-12-01,7611.465414434142
2023-12-04,7459.6600812461575
2023-12-05,7444.895936688703
2023-12-06,7369.755880497623
2023-12-07,7433.637428500477
2023-12-08,7471.297644929723
2023-12-11,7493.734116922533
2023-12-12,7529.238451588186
2023-12-13,7602.362675069468
2023-12-14,7610.990510229778
2023-12-15,7624.551677468666
2023-12-18,7668.269567476875
2023-12-19,7727.793120200248
2023-12-20,7593.402553139634
2023-12-21,7699.002409973851
2023-12-22,7700.372455569179
2023-12-26,7753.716717278296
2023-12-27,7775.7644291244005
2023-12-28,7757.019873000531
2023-12-29,7713.045057844207
2024-01-02,7612.504566719609
2024-01-03,7531.373361105909
2024-01-04,7526.696534088063
2024-01-05,7535.638191639914
2024-01-08,7658.475310728365
2024-01-09,7657.050737727676
2024-01-10,7711.879102722107
2024-01-11,7721.159102788894
2024-01-12,7737.215699657449
2024-01-16,7713.671992629978
2024-01-17,7653.324243993287
2024-01-18,7728.752916932821
2024-01-19,7849.565530274261
2024-01-22,7886.931842505982
2024-01-23,7886.25499408024
2024-01-24,7899.57004292477
2024-01-25,7897.377520518741
2024-01-26,7884.3040160210985
2024-01-29,7977.866107387104
2024-01-30,7978.765242095337
2024-01-31,7859.015532499356
2024-02-01,7978.445684972173
2024-02-02,8110.810411033869
2024-02-05,8100.1982762701855
2024-02-06,8272.971405811004
2024-02-07,8416.01709956642
2024-02-08,8470.389865743424
2024-02-09,8529.2902767979
2024-02-12,8517.718191993761
2024-02-13,8404.379439418515
2024-02-14,8570.213029908618
2024-02-15,8628.645723010002
2024-02-16,8561.837009134055
2024-02-20,8468.762407310973
2024-02-21,8410.896598941277
2024-02-22,8641.59896862926
2024-02-23,8625.033357696379
2024-02-26,8661.9351814635
2024-02-27,8692.233749640283
2024-02-28,8697.254071766722
2024-02-29,8780.541189457686
2024-03-01,8925.349901785747
2024-03-04,8943.526403708198
2024-03-05,8827.51781486565
2024-03-06,8974.84140671765
2024-03-07,9111.636583487474
2024-03-08,9023.849312548788
2024-03-11,8937.243823331384
2024-03-12,9001.794385890407
2024-03-13,9004.496522477433
2024-03-14,8923.183324110872
2024-03-15,8835.31091652894
2024-03-18,8908.226781661217
2024-03-19,8940.02534478006
2024-03-20,9056.067889259084
2024-03-21,9109.969419421306
2024-03-22,9072.444538604272
2024-03-25,9074.624159514402
2024-03-26,9085.999277664168
2024-03-27,9128.391265420203
2024-03-28,9064.339569925085
2024-04-01,9081.152884006551
2024-04-02,9034.939625190827
2024-04-03,9154.83817262663
2024-04-04,9053.049272153006
2024-04-05,9238.826974174826
2024-04-08,9247.946122895353
2024-04-09,9211.007975546738
